,Occupation title (click on the occupation title to view its profile)
220,"Environmental Science and Protection Technicians, Including Health"
221,"Geological Technicians, Except Hydrologic Technicians"
222,Hydrologic Technicians
223,Nuclear Technicians
224,Social Science Research Assistants
225,Forest and Conservation Technicians
226,"Miscellaneous Life, Physical, and Social Science Technicians"
227,Forensic Science Technicians
228,"Life, Physical, and Social Science Technicians, All Other"
229,Occupational Health and Safety Specialists and Technicians
230,Occupational Health and Safety Specialists
231,Occupational Health and Safety Technicians
232,Community and Social Service Occupations
233,"Counselors, Social Workers, and Other Community and Social Service Specialists"
234,Counselors
235,"Educational, Guidance, and Career Counselors and Advisors"
236,Marriage and Family Therapists
237,Rehabilitation Counselors
238,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors"
239,"Counselors, All Other"
240,Social Workers
241,"Child, Family, and School Social Workers"
242,Healthcare Social Workers
243,Mental Health and Substance Abuse Social Workers
244,"Social Workers, All Other"
245,Miscellaneous Community and Social Service Specialists
246,Health Education Specialists
247,Probation Officers and Correctional Treatment Specialists
248,Social and Human Service Assistants
249,Community Health Workers
250,"Community and Social Service Specialists, All Other"
251,Religious Workers
252,Clergy
253,"Directors, Religious Activities and Education"
254,"Religious Workers, All Other"
255,Legal Occupations
256,"Lawyers, Judges, and Related Workers"
257,Lawyers and Judicial Law Clerks
258,Lawyers
259,Judicial Law Clerks
260,"Judges, Magistrates, and Other Judicial Workers"
261,"Administrative Law Judges, Adjudicators, and Hearing Officers"
262,"Arbitrators, Mediators, and Conciliators"
263,"Judges, Magistrate Judges, and Magistrates"
264,Legal Support Workers
265,Paralegals and Legal Assistants
266,Miscellaneous Legal Support Workers
267,"Title Examiners, Abstractors, and Searchers"
268,"Legal Support Workers, All Other"
269,Educational Instruction and Library Occupations
270,Postsecondary Teachers
271,"Business Teachers, Postsecondary"
272,"Math and Computer Science Teachers, Postsecondary"
273,"Computer Science Teachers, Postsecondary"
274,"Mathematical Science Teachers, Postsecondary"
275,"Engineering and Architecture Teachers, Postsecondary"
276,"Architecture Teachers, Postsecondary"
277,"Engineering Teachers, Postsecondary"
278,"Life Sciences Teachers, Postsecondary"
279,"Agricultural Sciences Teachers, Postsecondary"
280,"Biological Science Teachers, Postsecondary"
281,"Forestry and Conservation Science Teachers, Postsecondary"
282,"Physical Sciences Teachers, Postsecondary"
283,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
284,"Chemistry Teachers, Postsecondary"
285,"Environmental Science Teachers, Postsecondary"
286,"Physics Teachers, Postsecondary"
287,"Social Sciences Teachers, Postsecondary"
288,"Anthropology and Archeology Teachers, Postsecondary"
289,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
290,"Economics Teachers, Postsecondary"
291,"Geography Teachers, Postsecondary"
292,"Political Science Teachers, Postsecondary"
293,"Psychology Teachers, Postsecondary"
294,"Sociology Teachers, Postsecondary"
295,"Social Sciences Teachers, Postsecondary, All Other"
296,"Health Teachers, Postsecondary"
297,"Health Specialties Teachers, Postsecondary"
298,"Nursing Instructors and Teachers, Postsecondary"
299,"Education and Library Science Teachers, Postsecondary"
300,"Education Teachers, Postsecondary"
301,"Library Science Teachers, Postsecondary"
302,"Law, Criminal Justice, and Social Work Teachers, Postsecondary"
303,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
304,"Law Teachers, Postsecondary"
305,"Social Work Teachers, Postsecondary"
306,"Arts, Communications, History, and Humanities Teachers, Postsecondary"
307,"Art, Drama, and Music Teachers, Postsecondary"
308,"Communications Teachers, Postsecondary"
309,"English Language and Literature Teachers, Postsecondary"
310,"Foreign Language and Literature Teachers, Postsecondary"
311,"History Teachers, Postsecondary"
312,"Philosophy and Religion Teachers, Postsecondary"
313,Miscellaneous Postsecondary Teachers
314,"Family and Consumer Sciences Teachers, Postsecondary"
315,"Recreation and Fitness Studies Teachers, Postsecondary"
316,"Career/Technical Education Teachers, Postsecondary"
317,"Postsecondary Teachers, All Other"
318,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
319,Preschool and Kindergarten Teachers
320,"Preschool Teachers, Except Special Education"
321,"Kindergarten Teachers, Except Special Education"
322,Elementary and Middle School Teachers
323,"Elementary School Teachers, Except Special Education"
324,"Middle School Teachers, Except Special and Career/Technical Education"
325,"Career/Technical Education Teachers, Middle School"
326,Secondary School Teachers
327,"Secondary School Teachers, Except Special and Career/Technical Education"
328,"Career/Technical Education Teachers, Secondary School"
329,Special Education Teachers
330,"Special Education Teachers, Preschool"
331,"Special Education Teachers, Kindergarten and Elementary School"
332,"Special Education Teachers, Middle School"
333,"Special Education Teachers, Secondary School"
334,"Special Education Teachers, All Other"
335,Other Teachers and Instructors
336,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
337,Self-Enrichment Teachers
338,"Substitute Teachers, Short-Term"
339,Tutors
340,"Teachers and Instructors, All Other"
341,"Librarians, Curators, and Archivists"
342,"Archivists, Curators, and Museum Technicians"
343,Archivists
344,Curators
345,Museum Technicians and Conservators
346,Librarians and Media Collections Specialists
347,Library Technicians
348,Other Educational Instruction and Library Occupations
349,Farm and Home Management Educators
350,Instructional Coordinators
351,Teaching Assistants
352,"Teaching Assistants, Postsecondary"
353,"Teaching Assistants, Except Postsecondary"
354,"Educational Instruction and Library Workers, All Other"
355,"Arts, Design, Entertainment, Sports, and Media Occupations"
356,Art and Design Workers
357,Artists and Related Workers
358,Art Directors
359,Craft Artists
360,"Fine Artists, Including Painters, Sculptors, and Illustrators"
361,Special Effects Artists and Animators
362,"Artists and Related Workers, All Other"
363,Designers
364,Commercial and Industrial Designers
365,Fashion Designers
366,Floral Designers
367,Graphic Designers
368,Interior Designers
369,Merchandise Displayers and Window Trimmers
370,Set and Exhibit Designers
371,"Designers, All Other"
372,"Entertainers and Performers, Sports and Related Workers"
373,"Actors, Producers, and Directors"
374,Actors
375,Producers and Directors
376,"Athletes, Coaches, Umpires, and Related Workers"
377,Athletes and Sports Competitors
378,Coaches and Scouts
379,"Umpires, Referees, and Other Sports Officials"
380,Dancers and Choreographers
381,Dancers
382,Choreographers
383,"Musicians, Singers, and Related Workers"
384,Music Directors and Composers
385,Musicians and Singers
386,"Miscellaneous Entertainers and Performers, Sports and Related Workers"
387,"Disc Jockeys, Except Radio"
388,"Entertainers and Performers, Sports and Related Workers, All Other"
389,Media and Communication Workers
390,Broadcast Announcers and Radio Disc Jockeys
391,"News Analysts, Reporters, and Journalists"
392,Public Relations Specialists
393,Writers and Editors
394,Editors
395,Technical Writers
396,Writers and Authors
397,Miscellaneous Media and Communication Workers
398,Interpreters and Translators
399,Court Reporters and Simultaneous Captioners
400,"Media and Communication Workers, All Other"
401,Media and Communication Equipment Workers
402,"Broadcast, Sound, and Lighting Technicians"
403,Audio and Video Technicians
404,Broadcast Technicians
405,Sound Engineering Technicians
406,Lighting Technicians
407,Photographers
408,"Television, Video, and Film Camera Operators and Editors"
409,"Camera Operators, Television, Video, and Film"
410,Film and Video Editors
411,"Media and Communication Equipment Workers, All Other"
412,Healthcare Practitioners and Technical Occupations
413,Healthcare Diagnosing or Treating Practitioners
414,Chiropractors
415,Dentists
416,"Dentists, General"
417,Oral and Maxillofacial Surgeons
418,Orthodontists
419,Prosthodontists
420,"Dentists, All Other Specialists"
421,Dietitians and Nutritionists
422,Optometrists
423,Pharmacists
424,Physician Assistants
425,Podiatrists
426,Therapists
427,Occupational Therapists
428,Physical Therapists
429,Radiation Therapists
430,Recreational Therapists
431,Respiratory Therapists
432,Speech-Language Pathologists
433,Exercise Physiologists
434,"Therapists, All Other"
435,Veterinarians
436,Registered Nurses
437,Nurse Anesthetists
438,Nurse Midwives
439,Nurse Practitioners
440,Audiologists
441,Physicians
442,Anesthesiologists
443,Cardiologists
444,Dermatologists
445,Emergency Medicine Physicians
446,Family Medicine Physicians
447,General Internal Medicine Physicians
448,Neurologists
449,Obstetricians and Gynecologists
450,"Pediatricians, General"
451,"Physicians, Pathologists"
452,Psychiatrists
453,Radiologists
454,"Physicians, All Other"
455,Surgeons
456,"Ophthalmologists, Except Pediatric"
457,"Orthopedic Surgeons, Except Pediatric"
458,Pediatric Surgeons
459,"Surgeons, All Other"
460,Miscellaneous Healthcare Diagnosing or Treating Practitioners
461,Acupuncturists
462,Dental Hygienists
463,"Healthcare Diagnosing or Treating Practitioners, All Other"
464,Health Technologists and Technicians
465,Clinical Laboratory Technologists and Technicians
466,Diagnostic Related Technologists and Technicians
467,Cardiovascular Technologists and Technicians
468,Diagnostic Medical Sonographers
469,Nuclear Medicine Technologists
470,Radiologic Technologists and Technicians
471,Magnetic Resonance Imaging Technologists
472,Medical Dosimetrists
473,Emergency Medical Technicians and Paramedics
474,Emergency Medical Technicians
475,Paramedics
476,Health Practitioner Support Technologists and Technicians
477,Dietetic Technicians
478,Pharmacy Technicians
479,Psychiatric Technicians
480,Surgical Technologists
481,Veterinary Technologists and Technicians
482,Ophthalmic Medical Technicians
483,Licensed Practical and Licensed Vocational Nurses
484,Medical Records Specialists
485,"Opticians, Dispensing"
486,Miscellaneous Health Technologists and Technicians
487,Orthotists and Prosthetists
488,Hearing Aid Specialists
489,"Health Technologists and Technicians, All Other"
490,Other Healthcare Practitioners and Technical Occupations
491,Health Information Technologists and Medical Registrars
492,Miscellaneous Health Practitioners and Technical Workers
493,Athletic Trainers
494,Genetic Counselors
495,Surgical Assistants
496,"Healthcare Practitioners and Technical Workers, All Other"
497,Healthcare Support Occupations
498,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
499,Home Health and Personal Care Aides
500,"Nursing Assistants, Orderlies, and Psychiatric Aides"
501,Nursing Assistants
502,Orderlies
503,Psychiatric Aides
504,Occupational Therapy and Physical Therapist Assistants and Aides
505,Occupational Therapy Assistants and Aides
506,Occupational Therapy Assistants
507,Occupational Therapy Aides
508,Physical Therapist Assistants and Aides
509,Physical Therapist Assistants
510,Physical Therapist Aides
511,Other Healthcare Support Occupations
512,Massage Therapists
513,Miscellaneous Healthcare Support Occupations
514,Dental Assistants
515,Medical Assistants
516,Medical Equipment Preparers
517,Medical Transcriptionists
518,Pharmacy Aides
519,Veterinary Assistants and Laboratory Animal Caretakers
520,Phlebotomists
521,"Healthcare Support Workers, All Other"
522,Protective Service Occupations
523,Supervisors of Protective Service Workers
524,First-Line Supervisors of Law Enforcement Workers
525,First-Line Supervisors of Correctional Officers
526,First-Line Supervisors of Police and Detectives
527,First-Line Supervisors of Firefighting and Prevention Workers
528,"Miscellaneous First-Line Supervisors, Protective Service Workers"
529,First-Line Supervisors of Security Workers
530,"First-Line Supervisors of Protective Service Workers, All Other"
531,Firefighting and Prevention Workers
532,Firefighters
533,Fire Inspectors
534,Fire Inspectors and Investigators
535,Forest Fire Inspectors and Prevention Specialists
536,Law Enforcement Workers
537,"Bailiffs, Correctional Officers, and Jailers"
538,Bailiffs
539,Correctional Officers and Jailers
540,Detectives and Criminal Investigators
541,Fish and Game Wardens
542,Parking Enforcement Workers
543,Police Officers
544,Police and Sheriff's Patrol Officers
545,Transit and Railroad Police
546,Other Protective Service Workers
547,Animal Control Workers
548,Private Detectives and Investigators
549,Security Guards and Gambling Surveillance Officers
550,Gambling Surveillance Officers and Gambling Investigators
551,Security Guards
552,Miscellaneous Protective Service Workers
553,Crossing Guards and Flaggers
554,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
555,Transportation Security Screeners
556,School Bus Monitors
557,"Protective Service Workers, All Other"
558,Food Preparation and Serving Related Occupations
559,Supervisors of Food Preparation and Serving Workers
560,Chefs and Head Cooks
561,First-Line Supervisors of Food Preparation and Serving Workers
562,Cooks and Food Preparation Workers
563,Cooks
564,"Cooks, Fast Food"
565,"Cooks, Institution and Cafeteria"
566,"Cooks, Private Household"
567,"Cooks, Restaurant"
568,"Cooks, Short Order"
569,"Cooks, All Other"
570,Food Preparation Workers
571,Food and Beverage Serving Workers
572,Bartenders
573,Fast Food and Counter Workers
574,Waiters and Waitresses
575,"Food Servers, Nonrestaurant"
576,Other Food Preparation and Serving Related Workers
577,Dining Room and Cafeteria Attendants and Bartender Helpers
578,Dishwashers
579,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
580,"Food Preparation and Serving Related Workers, All Other"
581,Building and Grounds Cleaning and Maintenance Occupations
582,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers
583,First-Line Supervisors of Housekeeping and Janitorial Workers
584,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
585,Building Cleaning and Pest Control Workers
586,Building Cleaning Workers
587,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
588,Maids and Housekeeping Cleaners
589,"Building Cleaning Workers, All Other"
590,Pest Control Workers
591,Grounds Maintenance Workers
592,Landscaping and Groundskeeping Workers
593,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
594,Tree Trimmers and Pruners
595,"Grounds Maintenance Workers, All Other"
596,Personal Care and Service Occupations
597,Supervisors of Personal Care and Service Workers
598,First-Line Supervisors of Entertainment and Recreation Workers
599,First-Line Supervisors of Gambling Services Workers
600,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
601,First-Line Supervisors of Personal Service Workers
602,Animal Care and Service Workers
603,Animal Trainers
604,Animal Caretakers
605,Entertainment Attendants and Related Workers
606,Gambling Services Workers
607,Gambling Dealers
608,Gambling and Sports Book Writers and Runners
609,"Gambling Service Workers, All Other"
610,Motion Picture Projectionists
611,"Ushers, Lobby Attendants, and Ticket Takers"
612,Miscellaneous Entertainment Attendants and Related Workers
613,Amusement and Recreation Attendants
614,Costume Attendants
615,"Locker Room, Coatroom, and Dressing Room Attendants"
616,"Entertainment Attendants and Related Workers, All Other"
617,Funeral Service Workers
618,Embalmers and Crematory Operators
619,Embalmers
620,Crematory Operators
621,Funeral Attendants
622,"Morticians, Undertakers, and Funeral Arrangers"
623,Personal Appearance Workers
624,"Barbers, Hairdressers, Hairstylists and Cosmetologists"
625,Barbers
626,"Hairdressers, Hairstylists, and Cosmetologists"
627,Miscellaneous Personal Appearance Workers
628,"Makeup Artists, Theatrical and Performance"
629,Manicurists and Pedicurists
630,Shampooers
631,Skincare Specialists
632,"Baggage Porters, Bellhops, and Concierges"
633,Baggage Porters and Bellhops
634,Concierges
635,Tour and Travel Guides
636,Other Personal Care and Service Workers
637,Childcare Workers
638,Recreation and Fitness Workers
639,Exercise Trainers and Group Fitness Instructors
640,Recreation Workers
641,Residential Advisors
642,"Personal Care and Service Workers, All Other"
643,Sales and Related Occupations
644,First-Line Supervisors of Sales Workers
645,First-Line Supervisors of Retail Sales Workers
646,First-Line Supervisors of Non-Retail Sales Workers
647,Retail Sales Workers
648,Cashiers
649,Cashiers
650,Gambling Change Persons and Booth Cashiers
651,Counter and Rental Clerks and Parts Salespersons
652,Counter and Rental Clerks
653,Parts Salespersons
654,Retail Salespersons
655,"Sales Representatives, Services"
656,Advertising Sales Agents
657,Insurance Sales Agents
658,"Securities, Commodities, and Financial Services Sales Agents"
659,Travel Agents
660,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
661,"Sales Representatives, Wholesale and Manufacturing"
662,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
663,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
664,Other Sales and Related Workers
665,"Models, Demonstrators, and Product Promoters"
666,Demonstrators and Product Promoters
667,Models
668,Real Estate Brokers and Sales Agents
669,Real Estate Brokers
670,Real Estate Sales Agents
671,Sales Engineers
672,Telemarketers
673,Miscellaneous Sales and Related Workers
674,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
675,"Sales and Related Workers, All Other"
676,Office and Administrative Support Occupations
677,First-Line Supervisors of Office and Administrative Support Workers
678,Communications Equipment Operators
679,"Switchboard Operators, Including Answering Service"
680,Telephone Operators
681,"Communications Equipment Operators, All Other"
682,Financial Clerks
683,Bill and Account Collectors
684,Billing and Posting Clerks
685,"Bookkeeping, Accounting, and Auditing Clerks"
686,Gambling Cage Workers
687,Payroll and Timekeeping Clerks
688,Procurement Clerks
689,Tellers
690,"Financial Clerks, All Other"
691,Information and Record Clerks
692,Brokerage Clerks
693,Correspondence Clerks
694,"Court, Municipal, and License Clerks"
695,"Credit Authorizers, Checkers, and Clerks"
696,Customer Service Representatives
697,"Eligibility Interviewers, Government Programs"
698,File Clerks
699,"Hotel, Motel, and Resort Desk Clerks"
700,"Interviewers, Except Eligibility and Loan"
701,"Library Assistants, Clerical"
702,Loan Interviewers and Clerks
703,New Accounts Clerks
704,Order Clerks
705,"Human Resources Assistants, Except Payroll and Timekeeping"
706,Receptionists and Information Clerks
707,Reservation and Transportation Ticket Agents and Travel Clerks
708,"Information and Record Clerks, All Other"
709,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
710,Cargo and Freight Agents
711,Couriers and Messengers
712,Dispatchers
713,Public Safety Telecommunicators
714,"Dispatchers, Except Police, Fire, and Ambulance"
715,"Meter Readers, Utilities"
716,Postal Service Workers
717,Postal Service Clerks
718,Postal Service Mail Carriers
719,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
720,"Production, Planning, and Expediting Clerks"
721,"Shipping, Receiving, and Inventory Clerks"
722,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
723,Secretaries and Administrative Assistants
724,Executive Secretaries and Executive Administrative Assistants
725,Legal Secretaries and Administrative Assistants
726,Medical Secretaries and Administrative Assistants
727,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
728,Other Office and Administrative Support Workers
729,Data Entry and Information Processing Workers
730,Data Entry Keyers
731,Word Processors and Typists
732,Desktop Publishers
733,Insurance Claims and Policy Processing Clerks
734,"Mail Clerks and Mail Machine Operators, Except Postal Service"
735,"Office Clerks, General"
